symptom_text,category,urgency,advice
white discharge with itching,infection,doctor,Possible yeast infection. Maintain hygiene and consult a gynecologist.
thick white discharge with no smell,infection,selfcare,Stay hydrated and use cotton underwear.
period late by 10 days with acne,pcos,doctor,Possible PCOS trend. Track cycles and consult a gynecologist.
missed period and nausea,pregnancy,doctor,Take a pregnancy test and consult a doctor.
heavy bleeding with severe cramps,urgent,urgent,Immediate medical attention recommended.
brown spotting before period,normal,selfcare,This may be pre-period spotting. Monitor for 2 days.
irregular cycles with weight gain,pcos,doctor,Possible hormonal imbalance or PCOS.
pelvic pain with fever,urgent,urgent,This may indicate infection. Visit doctor urgently.
foul smelling discharge,infection,doctor,Possible bacterial infection. Consult doctor soon.
mood swings before period,normal,selfcare,This may be PMS. Try rest and hydration.
period delayed after stress,normal,selfcare,Stress can delay periods. Sleep well and reduce stress.
severe lower abdominal pain during pregnancy,pregnancy,urgent,Please seek immediate OB-GYN consultation.
itching with redness and discharge,infection,doctor,Possible fungal infection. Avoid harsh soaps.
pain during ovulation,normal,selfcare,Ovulation pain can be normal. Monitor symptoms.
acne and facial hair with missed periods,pcos,doctor,Possible PCOS symptoms. Hormonal checkup advised.